timestamp,cfg_id,backtest_variant,cost_variant,n_trades,win_rate,avg_winner_bps,avg_loser_bps,total_return_pct,sharpe_daily,max_drawdown_pct
2026-05-13T16:22:05.859116+00:00,A2_tgt05_stp03_h60_slip5,top3,cost_retail,1863,0.3435,2.82,-4.33,-0.3489,-2.773,0.3485
2026-05-13T16:26:47.472437+00:00,C2_tgt10_stp05_h120_slip5,top1_T0,cost_inst,621,0.0596,1.29,-0.63,-0.0323,-5.217,0.0322
2026-05-13T16:26:55.575322+00:00,C1_tgt10_stp05_h120_close,top1_T0,cost_inst,621,0.1208,2.99,-0.94,-0.0287,-0.922,0.0287
2026-05-13T16:27:18.696955+00:00,A1_tgt05_stp03_h60_close,top1_T0_ambigProp,cost_inst,621,0.3768,3.61,-3.17,-0.0383,-0.775,0.0449
2026-05-13T16:27:19.459959+00:00,B1_tgt075_stp04_h60_close,top1_T0,cost_inst,621,0.3591,5.19,-4.03,-0.0446,-0.862,0.0468
2026-05-13T16:27:21.162525+00:00,A2_tgt05_stp03_h60_slip5,top1_T0_ambigProp,cost_inst,621,0.3881,3.76,-3.18,-0.0303,-0.676,0.0363
2026-05-13T16:30:19.512856+00:00,C2_tgt10_stp05_h120_slip5,top1_T0,cost_retail,621,0.0113,3.01,-1.98,-0.1192,-19.271,0.1190
2026-05-13T16:31:12.854286+00:00,C1_tgt10_stp05_h120_close,top1_T0,cost_retail,621,0.0483,5.32,-2.23,-0.1156,-3.718,0.1154
2026-05-13T16:32:31.467324+00:00,B1_tgt075_stp04_h60_close,top1_T0,cost_retail,621,0.3156,4.41,-5.13,-0.1315,-2.543,0.1313
2026-05-13T16:32:47.836232+00:00,A2_tgt05_stp03_h60_slip5,top1_T0_ambigProp,cost_retail,621,0.3366,2.82,-4.28,-0.1173,-2.615,0.1170
2026-05-13T16:32:49.137861+00:00,A1_tgt05_stp03_h60_close,top1_T0_ambigProp,cost_retail,621,0.3205,2.74,-4.26,-0.1252,-2.536,0.1263
2026-05-13T16:34:04.307473+00:00,C2_tgt10_stp05_h120_slip5,top1_T0.20,cost_inst,5,0.2000,0.53,-0.24,-0.0000,-0.293,0.0001
2026-05-13T16:35:07.918962+00:00,C1_tgt10_stp05_h120_close,top1_T0.20,cost_inst,270,0.1444,1.04,-0.71,-0.0122,-2.037,0.0123
2026-05-13T16:36:37.856293+00:00,B1_tgt075_stp04_h60_close,top1_T0.20,cost_inst,0,0.0000,0.00,0.00,0.0000,0.000,0.0000
2026-05-13T16:38:28.002477+00:00,A2_tgt05_stp03_h60_slip5,top1_T0_ambigMid,cost_inst,621,0.3881,3.74,-3.18,-0.0306,-0.677,0.0366
2026-05-13T16:38:29.794588+00:00,C2_tgt10_stp05_h120_slip5,top1_T0.20,cost_retail,5,0.0000,0.00,-1.49,-0.0007,-2.162,0.0006
2026-05-13T16:38:31.762325+00:00,A1_tgt05_stp03_h60_close,top1_T0_ambigMid,cost_inst,621,0.3784,3.60,-3.17,-0.0380,-0.766,0.0446
2026-05-13T16:38:58.598206+00:00,A1_tgt05_stp03_h60_close,top1_T0,cost_inst,621,0.3768,3.61,-3.18,-0.0384,-0.778,0.0450
2026-05-13T16:38:58.598408+00:00,A1_tgt05_stp03_h60_close,top1_T0,cost_retail,621,0.3205,2.74,-4.26,-0.1253,-2.540,0.1264
2026-05-13T16:38:58.598559+00:00,A1_tgt05_stp03_h60_close,top1_T0.20,cost_inst,621,0.3768,3.61,-3.18,-0.0384,-0.778,0.0450
2026-05-13T16:38:58.598705+00:00,A1_tgt05_stp03_h60_close,top1_T0.20,cost_retail,621,0.3205,2.74,-4.26,-0.1253,-2.540,0.1264
2026-05-13T16:38:58.598848+00:00,A1_tgt05_stp03_h60_close,top3,cost_inst,1863,0.3747,3.70,-3.22,-0.1170,-1.338,0.1281
2026-05-13T16:38:58.598989+00:00,A1_tgt05_stp03_h60_close,top3,cost_retail,1863,0.3237,2.79,-4.33,-0.3778,-4.321,0.3774
2026-05-13T16:38:58.599125+00:00,A1_tgt05_stp03_h60_close,top1_T0_ambigProp,cost_inst,621,0.3768,3.61,-3.17,-0.0383,-0.775,0.0449
2026-05-13T16:38:58.599259+00:00,A1_tgt05_stp03_h60_close,top1_T0_ambigProp,cost_retail,621,0.3205,2.74,-4.26,-0.1252,-2.536,0.1263
2026-05-13T16:38:58.599394+00:00,A1_tgt05_stp03_h60_close,top1_T0_ambigMid,cost_inst,621,0.3784,3.60,-3.17,-0.0380,-0.766,0.0446
2026-05-13T16:39:02.643443+00:00,A2_tgt05_stp03_h60_slip5,top1_T0,cost_inst,621,0.3849,3.77,-3.18,-0.0314,-0.679,0.0374
2026-05-13T16:39:02.643650+00:00,A2_tgt05_stp03_h60_slip5,top1_T0,cost_retail,621,0.3333,2.84,-4.28,-0.1184,-2.557,0.1182
2026-05-13T16:39:02.643820+00:00,A2_tgt05_stp03_h60_slip5,top1_T0.20,cost_inst,621,0.3849,3.77,-3.18,-0.0314,-0.679,0.0374
2026-05-13T16:39:02.643961+00:00,A2_tgt05_stp03_h60_slip5,top1_T0.20,cost_retail,621,0.3333,2.84,-4.28,-0.1184,-2.557,0.1182
2026-05-13T16:39:02.644096+00:00,A2_tgt05_stp03_h60_slip5,top3,cost_inst,1863,0.3892,3.81,-3.20,-0.0881,-0.700,0.1086
2026-05-13T16:39:02.644239+00:00,A2_tgt05_stp03_h60_slip5,top3,cost_retail,1863,0.3435,2.82,-4.33,-0.3489,-2.773,0.3485
2026-05-13T16:39:02.644375+00:00,A2_tgt05_stp03_h60_slip5,top1_T0_ambigProp,cost_inst,621,0.3881,3.76,-3.18,-0.0303,-0.676,0.0363
2026-05-13T16:39:02.644512+00:00,A2_tgt05_stp03_h60_slip5,top1_T0_ambigProp,cost_retail,621,0.3366,2.82,-4.28,-0.1173,-2.615,0.1170
